Age,Workclass,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country
27.0,4,10.0,0,1,1,4,0,0.0,0.0,44.0,39
27.0,4,13.0,4,10,0,4,0,0.0,0.0,40.0,39
25.0,4,12.0,2,12,4,4,1,0.0,0.0,40.0,39
46.0,4,3.0,2,14,4,0,1,0.0,1902.0,40.0,39
45.0,4,7.0,0,14,0,4,1,0.0,2824.0,76.0,39
29.0,4,13.0,2,10,3,4,1,0.0,0.0,75.0,39
42.0,2,9.0,5,8,0,2,0,0.0,0.0,60.0,0
34.0,4,10.0,0,1,0,4,0,0.0,0.0,50.0,39
60.0,2,11.0,0,10,1,4,1,0.0,0.0,40.0,39
19.0,4,10.0,4,1,3,4,0,0.0,0.0,40.0,39
21.0,4,12.0,4,1,3,4,0,0.0,0.0,8.0,39
31.0,4,14.0,4,10,0,4,0,0.0,0.0,46.0,39
53.0,4,14.0,2,4,4,4,1,0.0,0.0,45.0,39
35.0,0,9.0,2,0,2,4,0,0.0,0.0,25.0,39
51.0,2,14.0,0,4,0,4,0,0.0,0.0,40.0,39
31.0,1,13.0,0,11,0,4,1,0.0,0.0,50.0,39
37.0,4,10.0,2,3,4,4,1,0.0,0.0,52.0,39
29.0,4,16.0,2,10,4,1,1,0.0,0.0,60.0,19
68.0,0,9.0,2,0,4,4,1,1409.0,0.0,15.0,39
24.0,4,9.0,2,3,4,4,1,0.0,0.0,40.0,39
46.0,4,7.0,5,7,0,4,0,0.0,0.0,40.0,39
53.0,4,10.0,2,3,4,2,1,7688.0,0.0,40.0,39
54.0,4,10.0,2,10,4,4,1,0.0,0.0,40.0,39
21.0,4,10.0,4,3,0,4,1,0.0,0.0,55.0,39
56.0,4,16.0,2,10,4,4,1,0.0,0.0,50.0,39
35.0,6,15.0,2,10,4,4,1,0.0,0.0,65.0,39
46.0,4,10.0,2,1,4,4,1,0.0,0.0,40.0,39
36.0,6,10.0,0,12,1,4,0,0.0,0.0,35.0,39
20.0,4,10.0,4,5,3,4,0,0.0,0.0,40.0,39
29.0,4,9.0,4,6,0,4,1,0.0,1408.0,40.0,39
37.0,4,10.0,0,13,0,0,0,0.0,0.0,40.0,39
17.0,4,7.0,4,6,3,4,1,0.0,0.0,16.0,39
32.0,4,9.0,0,7,0,4,0,0.0,0.0,38.0,39
23.0,4,9.0,4,4,0,4,1,0.0,0.0,40.0,39
45.0,5,14.0,0,12,1,4,0,25236.0,0.0,42.0,39
26.0,4,9.0,4,7,0,4,1,0.0,0.0,40.0,39
31.0,4,9.0,0,8,1,4,0,0.0,0.0,99.0,39
79.0,4,10.0,2,10,2,4,1,0.0,0.0,20.0,39
49.0,4,9.0,0,8,0,4,0,0.0,0.0,40.0,39
42.0,4,13.0,2,12,4,4,1,0.0,0.0,40.0,39
67.0,4,14.0,2,12,4,4,1,0.0,0.0,30.0,39
35.0,4,16.0,2,4,4,4,1,0.0,0.0,45.0,39
44.0,4,13.0,0,4,1,4,1,0.0,2547.0,50.0,39
31.0,4,9.0,2,6,4,4,1,0.0,0.0,40.0,39
37.0,2,13.0,0,10,1,4,0,0.0,0.0,55.0,39
22.0,7,12.0,4,1,0,4,1,0.0,0.0,40.0,39
34.0,4,10.0,2,7,4,4,1,0.0,0.0,40.0,39
45.0,4,9.0,0,14,0,4,1,0.0,0.0,40.0,39
51.0,4,9.0,2,7,4,2,1,0.0,0.0,40.0,39
28.0,4,7.0,2,1,5,4,0,0.0,0.0,40.0,26
38.0,4,11.0,0,1,1,2,0,0.0,0.0,40.0,39
40.0,4,6.0,0,7,1,4,0,0.0,0.0,40.0,39
50.0,4,10.0,2,13,4,4,1,0.0,0.0,60.0,39
33.0,4,4.0,0,6,3,4,1,0.0,0.0,40.0,39
49.0,4,13.0,2,4,4,4,1,0.0,0.0,40.0,39
44.0,4,12.0,0,7,3,4,0,0.0,0.0,45.0,39
23.0,4,9.0,2,8,4,4,1,0.0,0.0,50.0,39
20.0,4,9.0,4,6,3,4,1,0.0,0.0,40.0,39
32.0,4,9.0,3,8,1,4,0,0.0,0.0,20.0,39
64.0,4,2.0,0,9,0,4,0,0.0,0.0,12.0,39
28.0,4,13.0,2,10,4,4,1,0.0,0.0,40.0,0
47.0,2,7.0,2,14,4,4,1,3411.0,0.0,40.0,8
37.0,4,10.0,0,1,0,4,0,0.0,0.0,40.0,39
47.0,5,9.0,2,7,4,4,1,0.0,0.0,48.0,39
59.0,0,6.0,0,0,0,4,0,0.0,0.0,40.0,9
22.0,4,10.0,4,10,1,4,0,0.0,0.0,20.0,39
